ID;DOCID;BEGINTIME;ENDTIME;BEGINTIME_P;ENDTIME_P;ENABLED;SHIFTDATE;HIDEINTALONS
71261;485;0.5;0.625;;;1;44366;0
71262;485;0.5;0.625;;;1;44368;0
71263;485;0.5;0.625;;;1;44369;0
71264;485;0.5;0.625;;;1;44370;0
71265;485;0.5;0.625;;;1;44371;0
71266;485;0.5;0.625;;;1;44372;0
71267;485;0.5;0.625;;;1;44373;0
71268;485;0.5;0.625;;;1;44375;0
71269;485;0.5;0.625;;;1;44376;0
71270;485;0.5;0.625;;;1;44377;0
71284;54;0.5;0.625;;;1;44363;0
71285;54;0.5;0.625;;;1;44364;0
71286;54;0.5;0.625;;;1;44365;0
71287;54;0.5;0.625;;;1;44366;0
71288;54;0.5;0.625;;;1;44368;0
71289;54;0.5;0.625;;;1;44369;0
71290;54;0.5;0.625;;;1;44370;0
71291;54;0.5;0.625;;;1;44371;0
71292;54;0.5;0.625;;;1;44372;0
71293;54;0.5;0.625;;;1;44373;0
71294;54;0.5;0.625;;;1;44375;0
71295;54;0.5;0.625;;;1;44376;0
71296;54;0.5;0.625;;;1;44377;0
71299;54;0.5;0.541667;;;1;44367;0
71300;54;0.5;0.541667;;;1;44374;0
71316;402;0.333333;0.416667;;;1;44363;0
71317;402;0.333333;0.416667;;;1;44364;0
71318;402;0.333333;0.416667;;;1;44365;0
71319;402;0.333333;0.416667;;;1;44366;0
71320;402;0.333333;0.416667;;;1;44367;0
71321;402;0.333333;0.416667;;;1;44368;0
71322;402;0.333333;0.416667;;;1;44369;0
71323;402;0.333333;0.416667;;;1;44370;0
71324;402;0.333333;0.416667;;;1;44371;0
71325;402;0.333333;0.416667;;;1;44372;0
71326;402;0.333333;0.416667;;;1;44373;0
71327;402;0.333333;0.416667;;;1;44374;0
71328;402;0.333333;0.416667;;;1;44375;0
71329;402;0.333333;0.416667;;;1;44376;0
71330;402;0.333333;0.416667;;;1;44377;0
71344;482;0.333333;0.416667;;;1;44363;0
71345;482;0.333333;0.416667;;;1;44364;0
71346;482;0.333333;0.416667;;;1;44365;0
71347;482;0.333333;0.416667;;;1;44366;0
71348;482;0.333333;0.416667;;;1;44368;0
71349;482;0.333333;0.416667;;;1;44369;0
71350;482;0.333333;0.416667;;;1;44370;0
71351;482;0.333333;0.416667;;;1;44371;0
71352;482;0.333333;0.416667;;;1;44372;0
71353;482;0.333333;0.416667;;;1;44373;0
71354;482;0.333333;0.416667;;;1;44375;0
71355;482;0.333333;0.416667;;;1;44376;0
71356;482;0.333333;0.416667;;;1;44377;0
71357;482;0.333333;0.416667;;;1;44378;0
71358;482;0.333333;0.416667;;;1;44379;0
71359;482;0.333333;0.416667;;;1;44380;0
71371;493;0.708333;0.833333;;;0;44363;0
71372;493;0.708333;0.833333;;;0;44364;0
71373;493;0.708333;0.833333;;;0;44365;0
71374;493;0.708333;0.833333;;;0;44368;0
71375;493;0.708333;0.833333;;;0;44369;0
71376;493;0.708333;0.833333;;;0;44370;0
71377;493;0.708333;0.833333;;;0;44371;0
71378;493;0.708333;0.833333;;;0;44372;0
71379;493;0.708333;0.833333;;;0;44375;0
71380;493;0.708333;0.833333;;;0;44376;0
71381;493;0.708333;0.833333;;;0;44377;0
71382;493;0.708333;0.833333;;;1;44378;0
